"주거실태별(1)",주거실태별(2),2020,2020
"주거실태별(1)",주거실태별(2),서울,전국
"주택현황",단독주택,26.9,31.0
"주택현황",아파트,42.8,51.1
"주택현황",연립주택,2.7,2.1
"주택현황",다세대주택,18.6,9.4
"주택현황",비거주용 건물내 주택,2.0,1.6
"주택현황",주택이외의 거처,6.9,4.8
"점유형태",자가,42.2,57.9
"점유형태",그외,57.8,42.1
