동별,성별,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022
동별,성별,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
동별,성별,20~24세,25~29세,30~34세,35~39세,20~24세,25~29세,30~34세,35~39세,20~24세,25~29세,30~34세,35~39세,20~24세,25~29세,30~34세,35~39세,20~24세,25~29세,30~34세,35~39세,20~24세,25~29세,30~34세,35~39세,20~24세,25~29세,30~34세,35~39세
강북구,계,22154,20964,23435,24486,21739,21688,21578,24232,21282,22361,20084,23753,20615,22700,19107,22596,19882,22976,18575,20838,18945,22770,18436,19125,18019,22228,18701,17552
강북구,남자,11221,10586,12252,12801,10952,10885,11309,12731,10513,11247,10541,12491,9967,11474,9984,11903,9448,11620,9712,10992,8927,11506,9614,10082,8426,11202,9710,9260
강북구,여자,10934,10378,11183,11685,10787,10804,10269,11501,10769,11114,9543,11262,10648,11226,9123,10694,10434,11356,8863,9847,10018,11264,8822,9043,9593,11026,8992,8292
도봉구,계,24492,22694,24333,24938,23860,22937,22552,24902,23042,23202,21086,24667,21945,23255,20102,23899,20811,23066,19396,22360,19698,22526,19126,20632,18363,21931,19422,19097
도봉구,남자,12735,11585,12530,12583,12434,11643,11692,12558,11922,11816,10890,12487,11227,11936,10301,12176,10562,11850,9931,11420,9929,11524,9768,10566,9175,11124,9899,9839
도봉구,여자,11757,11110,11803,12356,11426,11294,10860,12344,11120,11386,10196,12180,10719,11319,9801,11724,10249,11216,9465,10940,9770,11002,9358,10066,9188,10807,9523,9258
노원구,계,42418,34746,38561,41638,41835,34891,35435,40919,40944,35182,32602,39800,39720,35340,30893,37839,38164,35323,30143,35290,36470,34760,30262,33180,34942,33739,31047,31131
노원구,남자,22176,17650,19056,20644,21900,17884,17509,20356,21288,18183,16192,19758,20465,18360,15433,18707,19510,18336,15114,17460,18528,17956,15181,16427,17686,17375,15515,15478
노원구,여자,20242,17096,19505,20994,19935,17007,17926,20563,19656,16999,16410,20043,19256,16980,15460,19133,18655,16987,15029,17830,17942,16804,15081,16753,17256,16364,15532,15654
은평구,계,32447,32131,37507,39839,31785,32794,34467,39510,31021,33772,32639,39175,30110,35049,31851,38238,29568,36466,31944,36499,28798,36973,32719,34485,27319,36562,33818,32274
은평구,남자,16451,15642,18696,20015,16027,16040,17092,19863,15507,16517,16096,19765,14922,17033,15620,19294,14474,17554,15605,18358,13961,17566,15909,17227,13188,17095,16458,16000
은평구,여자,15996,16489,18811,19825,15758,16755,17375,19647,15514,17256,16544,19410,15188,18016,16231,18944,15094,18912,16339,18141,14837,19407,16810,17258,14131,19468,17360,16274
서대문구,계,23330,23764,23748,23274,23099,24439,22617,23624,22721,25106,21582,23695,22372,25798,21182,23355,22332,26807,21463,22908,22017,27189,22025,22200,21593,26949,22687,21323
서대문구,남자,11577,11963,11883,11706,11242,12345,11284,11821,10792,12784,10730,11774,10425,13126,10551,11554,10237,13479,10688,11350,9965,13505,10886,11023,9707,13241,11189,10553
서대문구,여자,11753,11801,11865,11568,11857,12095,11333,11803,11930,12322,10852,11921,11947,12673,10631,11801,12095,13328,10776,11558,12052,13684,11139,11177,11887,13708,11499,10770
마포구,계,26227,31415,36589,34015,25626,31672,34284,33750,25304,32834,32691,33818,25249,34209,32044,33496,25345,35313,31845,32514,25138,35949,32082,31352,24402,35969,32873,29957
마포구,남자,12564,14617,17623,16607,12132,14718,16240,16563,11794,15261,15308,16555,11545,15849,14853,16337,11339,16218,14644,15852,11018,16417,14826,15167,10607,16271,15364,14316
마포구,여자,13663,16799,18966,17409,13494,16954,18044,17187,13510,17574,17384,17263,13704,18360,17192,17159,14007,19095,17201,16662,14120,19532,17256,16185,13795,19698,17510,15642
양천구,계,34679,29689,33024,34618,33451,29824,30695,34778,32192,30007,28500,34713,30839,30251,27098,33597,29495,30526,26408,31828,28006,30273,26289,29965,26314,29570,26757,27813
양천구,남자,18223,14749,16584,16823,17611,14909,15333,16932,16931,15090,14152,16925,16141,15276,13437,16362,15345,15347,13136,15500,14473,15156,13160,14585,13497,14820,13468,13546
양천구,여자,16456,14940,16440,17795,15841,14916,15362,17846,15262,14917,14349,17788,14698,14976,13661,17235,14150,15180,13272,16328,13533,15117,13129,15380,12817,14750,13289,14267
강서구,계,39676,44553,54144,52199,39083,47055,52651,54330,37893,49164,51196,55469,36190,50686,50021,54108,34599,52157,49505,50802,33285,52651,50086,47719,31697,52202,51979,45260
강서구,남자,19860,21234,27329,26657,19352,22271,26479,27876,18519,23173,25696,28507,17481,23712,25015,27816,16469,24072,24716,26139,15621,23954,24940,24525,14827,23465,25728,23180
강서구,여자,19816,23319,26815,25543,19731,24784,26172,26454,19375,25991,25500,26962,18710,26974,25006,26292,18130,28085,24790,24663,17665,28697,25146,23194,16870,28737,26251,22080
구로구,계,26752,29615,36429,37206,26020,29709,33293,36674,25089,30000,30767,35796,24339,30797,29939,34671,23652,31640,30310,33112,22731,31627,30702,31015,21703,31420,31629,29399
구로구,남자,13488,14455,18406,19187,13114,14526,16774,18885,12597,14782,15438,18388,12064,15191,15038,17781,11594,15580,15241,17063,11121,15546,15453,16014,10538,15317,15970,15186
구로구,여자,13265,15160,18023,18019,12906,15183,16519,17789,12492,15218,15330,17408,12276,15606,14901,16891,12058,16060,15069,16049,11611,16081,15249,15001,11165,16103,15659,14213
금천구,계,16223,18093,19113,17705,15830,18612,18388,17933,15435,19556,17877,18152,14966,20744,17709,17853,14499,21988,18120,17093,13939,23063,19268,16474,13068,23622,20801,16003
금천구,남자,8346,9668,10504,9566,8107,9841,10086,9709,7873,10305,9804,9891,7543,10932,9763,9809,7119,11460,10065,9409,6710,11738,10688,9104,6241,11777,11459,8847
금천구,여자,7877,8425,8609,8139,7724,8772,8303,8225,7562,9251,8073,8262,7424,9812,7947,8045,7381,10528,8056,7684,7229,11325,8581,7370,6827,11845,9342,7156
영등포구,계,23773,30175,34793,31716,22968,30785,33303,31850,22470,32096,32831,32358,21872,33868,33113,32320,21672,35862,34427,32554,21605,36989,36158,32640,21029,36925,37536,31607
영등포구,남자,11760,14526,17867,16335,11298,14861,16996,16502,10897,15543,16724,16851,10382,16291,16889,16858,10165,17021,17487,16998,10026,17306,18228,17013,9575,17087,18842,16341
영등포구,여자,12013,15649,16927,15381,11671,15924,16307,15349,11573,16553,16107,15507,11490,17577,16225,15462,11507,18841,16940,15556,11579,19683,17930,15627,11454,19838,18694,15266
동작구,계,29050,34062,36108,33834,28706,34725,34086,33857,28467,35728,32379,33657,28276,37231,31835,32719,27761,38372,31713,30939,27027,38411,31814,29247,26329,38008,32316,27720
동작구,남자,14648,16974,18213,17059,14298,17400,17060,17130,13894,17936,16221,17016,13529,18611,16064,16519,13070,19039,16047,15641,12617,18971,16081,14797,12265,18732,16404,13978
동작구,여자,14403,17088,17895,16775,14409,17325,17027,16727,14573,17792,16159,16642,14747,18620,15771,16200,14691,19333,15666,15298,14410,19441,15734,14450,14064,19277,15912,13743
관악구,계,39146,56162,52765,42962,39314,58587,49856,42976,39581,61975,48149,42658,39733,65595,47852,41157,39275,68411,48260,38692,38358,69784,49204,36193,37540,71244,51437,34313
