□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,
계약일자 : 20220101 ~ 20220131,,,,,,,,,,,,,,,
실거래구분 : 아파트(매매),,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,
시도 : 서울특별시,,,,,,,,,,,,,,,
시군구 : 전체,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,중개사소재지
서울특별시 강남구 삼성동,189,189,0,래미안라클래시,115.93,202201,17,"501,750",21,2021,삼성로 651,, ,직거래,-
서울특별시 강남구 삼성동,189,189,0,래미안라클래시,71.9,202201,21,"311,500",22,2021,삼성로 651,, ,직거래,-
서울특별시 강남구 삼성동,107,107,0,미켈란107,83,202201,6,"205,000",14,2003,영동대로 602,, ,중개거래,서울 강남구
서울특별시 강남구 삼성동,Sep-52,52,9,삼성리치빌1,84.98,202201,28,"149,000",4,2003,학동로82길 6,, ,중개거래,서울 강남구
서울특별시 강남구 삼성동,87,87,0,아이파크,145.046,202201,26,"420,000",9,2004,영동대로 640,, ,중개거래,서울 강남구
서울특별시 강남구 삼성동,87,87,0,아이파크,156.857,202201,28,"475,000",6,2004,영동대로 640,, ,중개거래,서울 강남구
서울특별시 강남구 삼성동,146,146,0,포스코트,160.28,202201,26,"281,000",7,2003,봉은사로 510,, ,중개거래,서울 강남구
서울특별시 강남구 수서동,746,746,0,까치마을,34.44,202201,7,"105,000",9,1993,광평로19길 10,, ,중개거래,서울 강남구
서울특별시 강남구 신사동,632,632,0,압구정하이츠파크,213.05,202201,12,"550,000",19,2004,압구정로42길 78,, ,중개거래,서울 강남구
서울특별시 강남구 압구정동,369-1,369,1,"현대1차(12,13,21,22,31,32,33동)",196.21,202201,18,"800,000",9,1976,압구정로29길 71,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,823-7,823,7,강남역우정에쉐르,17.13,202201,5,"20,500",11,2004,테헤란로10길 10,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,754,754,0,개나리래미안,129.8,202201,3,"325,000",14,2006,역삼로 306,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,754,754,0,개나리래미안,129.8,202201,26,"315,000",18,2006,역삼로 306,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,783-28,783,28,갤러리아트,80.39,202201,3,"76,000",5,2002,언주로63길 30,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,728-6,728,6,마이다스힐빌라트,243.52,202201,28,"72,000",2,2003,역삼로25길 20,, ,직거래,-
서울특별시 강남구 역삼동,747-5,747,5,브라운스톤역삼,59.96,202201,27,"109,000",7,2004,역삼로 171,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,713-11,713,11,역삼I'PARK,28.246,202201,7,"85,400",5,2006,역삼로 307,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,713-11,713,11,역삼I'PARK,28.246,202201,12,"86,000",18,2006,역삼로 307,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,713-11,713,11,역삼I'PARK,130.143,202201,21,"340,000",4,2006,역삼로 307,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,757,757,0,역삼래미안,80.87,202201,26,"268,000",8,2005,선릉로69길 19,, ,중개거래,"서울 강남구, 서울 서초구"
서울특별시 강남구 역삼동,708-31,708,31,우정에쉐르멤버스,36.19,202201,7,"58,000",9,2004,선릉로87길 14,, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,708-31,708,31,우정에쉐르멤버스,36.19,202201,7,"58,000",9,2004,선릉로87길 14,20220419, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,709-5,709,5,테헤란아이파크,70.8333,202201,31,"220,000",2,2014,테헤란로52길 16,20220321, ,중개거래,서울 강남구
서울특별시 강남구 역삼동,706-20,706,20,한화진넥스빌,43.58,202201,27,"46,500",20,2001,언주로86길 11,, ,중개거래,서울 강남구
서울특별시 강남구 일원동,743,743,0,디에이치자이개포,84.94,202201,26,"208,273",29,2021,영동대로 22,, ,직거래,-
서울특별시 강남구 일원동,718,718,0,샘터마을,101.97,202201,6,"265,000",10,1994,일원로 120,, ,중개거래,"서울 강남구, 서울 서초구"
서울특별시 강남구 자곡동,619,619,0,강남자곡 힐스테이트,51.99,202201,8,"103,000",7,2015,자곡로3길 21,20220502, ,중개거래,서울 강남구
서울특별시 강남구 자곡동,619,619,0,강남자곡 힐스테이트,51.96,202201,8,"103,000",7,2015,자곡로3길 21,, ,중개거래,서울 강남구
서울특별시 강남구 자곡동,619,619,0,강남자곡 힐스테이트,51.96,202201,17,"118,000",11,2015,자곡로3길 21,, ,중개거래,서울 강남구
서울특별시 강남구 청담동,Dec-76,76,12,라테라스청담,18.62,202201,17,"34,000",8,2018,학동로81길 9,, ,중개거래,서울 강남구
서울특별시 강남구 청담동,10,10,0,삼환(101동),84.91,202201,17,"170,000",2,1999,학동로77길 49,, ,중개거래,서울 강남구
서울특별시 강남구 청담동,134-16,134,16,신동아,84.94,202201,19,"220,000",2,1997,학동로105길 30,, ,중개거래,서울 강남구
서울특별시 강동구 강일동,665,665,0,강일리버파크1단지,84.83,202201,12,"113,000",11,2009,아리수로93가길 25,, ,중개거래,서울 강동구
서울특별시 강동구 강일동,717,717,0,고덕리엔파크2단지,84.83,202201,19,"110,000",9,2011,고덕로 427,, ,중개거래,서울 강동구
서울특별시 강동구 고덕동,693,693,0,고덕그라시움,59.785,202201,22,"144,800",15,2019,고덕로 333,, ,중개거래,서울 강동구
서울특별시 강동구 고덕동,693,693,0,고덕그라시움,59.785,202201,22,"144,800",15,2019,고덕로 333,20220415, ,중개거래,서울 강동구
서울특별시 강동구 길동,457-1,457,1,강동렘브란트,15.86,202201,19,"10,000",13,2014,천호대로177길 9,, ,중개거래,서울 강동구
서울특별시 강동구 길동,457-1,457,1,강동렘브란트,15.86,202201,20,"11,000",11,2014,천호대로177길 9,, ,중개거래,서울 강동구
서울특별시 강동구 길동,457-1,457,1,강동렘브란트,15.86,202201,22,"11,000",12,2014,천호대로177길 9,, ,중개거래,서울 강동구
서울특별시 강동구 길동,414-4,414,4,강동와이시티,13.97,202201,6,"11,400",17,2014,천호대로175길 42,, ,직거래,-
서울특별시 강동구 길동,456-3,456,3,강동큐브,12.49,202201,26,"15,700",16,2013,천호대로175길 16,, ,직거래,-
서울특별시 강동구 길동,415-13,415,13,강동큐브(2차),12.52,202201,20,"13,500",6,2013,진황도로 85,, ,직거래,-
서울특별시 강동구 길동,415-13,415,13,강동큐브(2차),14.32,202201,22,"10,300",6,2013,진황도로 85,, ,중개거래,서울 강동구
서울특별시 강동구 길동,400,400,0,길동우성,40.36,202201,21,"71,000",1,1994,천호대로193길 37,, ,중개거래,"경기 안양동안구, 서울 강동구"
서울특별시 강동구 길동,388-7,388,7,다성이즈빌(주상복합),36.35,202201,7,"34,500",13,2015,천중로42길 69,20220217, ,중개거래,서울 강동구
서울특별시 강동구 길동,351-2,351,2,신세대빌라트,180.17,202201,27,"58,000",7,1999,천중로 220,, ,직거래,-
서울특별시 강동구 길동,384-5,384,5,에이치비골드빌(103동),78.13,202201,6,"75,000",11,2004,성안로 170,, ,중개거래,서울 강동구
서울특별시 강동구 길동,353-40,353,40,유덕휴먼빌,81.94,202201,11,"61,000",1,2003,천중로54길 9-14,, ,중개거래,서울 강동구
서울특별시 강동구 길동,387-5,387,5,청광플러스원(큐브1차),16.685,202201,20,"12,700",6,2012,천중로42길 70,, ,직거래,-
서울특별시 강동구 길동,343-1,343,1,현대웰하임(101동),16.959,202201,18,"11,800",7,2012,천중로53길 6,, ,중개거래,서울 강동구
서울특별시 강동구 길동,343-1,343,1,현대웰하임(101동),16.959,202201,18,"11,800",7,2012,천중로53길 6,, ,중개거래,서울 강동구
서울특별시 강동구 길동,343-2,343,2,현대웰하임(201동),14.468,202201,4,"8,000",4,2012,천중로49가길 56,, ,중개거래,서울 강동구
서울특별시 강동구 둔촌동,545,545,0,둔촌하이츠,59.79,202201,7,"95,000",12,1998,명일로 113,20220331, ,중개거래,서울 강동구
서울특별시 강동구 둔촌동,134-10,134,10,신성둔촌미소지움2,84.78,202201,28,"132,000",12,2000,진황도로 212,, ,중개거래,서울 강동구
서울특별시 강동구 명일동,257,257,0,고덕주공9,83.34,202201,12,"135,000",8,1985,상암로 251,, ,중개거래,서울 강동구
서울특별시 강동구 명일동,257,257,0,고덕주공9,83.52,202201,17,"139,000",5,1985,상암로 251,, ,중개거래,서울 강동구
서울특별시 강동구 명일동,257,257,0,고덕주공9,83.52,202201,26,"133,000",1,1985,상암로 251,, ,중개거래,서울 강동구
서울특별시 강동구 상일동,514,514,0,고덕롯데캐슬베네루체,59.981,202201,15,"126,000",8,2019,상암로79길 88,, ,중개거래,서울 강동구
서울특별시 강동구 상일동,490,490,0,고덕리엔파크3단지,59.83,202201,11,"96,500",5,2011,상일로 74,, ,중개거래,서울 강동구
서울특별시 강동구 상일동,513,513,0,고덕센트럴IPARK,59.91,202201,14,"130,000",6,2019,고덕로80길 99,, ,중개거래,서울 강동구
서울특별시 강동구 상일동,519,519,0,고덕아르테온,84.97,202201,9,"180,000",13,2020,고덕로 360,, ,중개거래,서울 강동구
서울특별시 강동구 상일동,519,519,0,고덕아르테온,84.93,202201,15,"195,000",17,2020,고덕로 360,, ,중개거래,서울 강동구
서울특별시 강동구 상일동,519,519,0,고덕아르테온,84.97,202201,25,"180,000",11,2020,고덕로 360,, ,중개거래,서울 강동구
서울특별시 강동구 상일동,521,521,0,고덕자이,74.3069,202201,10,"150,000",23,2021,상일로 55,, ,직거래,-
서울특별시 강동구 상일동,476,476,0,중앙하이츠,59.94,202201,18,"90,000",5,1992,구천면로 557,, ,중개거래,서울 강동구
서울특별시 강동구 성내동,590,590,0,성내동삼성아파트,84.99,202201,22,"131,000",5,1999,풍성로 128,, ,중개거래,서울 강동구
서울특별시 강동구 성내동,549-5,549,5,성내스테이,52.57,202201,15,"67,000",10,2018,성내로 54,, ,중개거래,서울 강동구
서울특별시 강동구 성내동,295,295,0,성안마을청구,59.93,202201,22,"95,000",12,2002,풍성로 114-1,, ,중개거래,서울 강동구
서울특별시 강동구 성내동,548-4,548,4,에스아이팰리스센트럴성내,14.04,202201,21,"23,700",13,2021,성내로 64,, ,직거래,-
서울특별시 강동구 성내동,548-4,548,4,에스아이팰리스센트럴성내,14.04,202201,21,"23,300",10,2021,성내로 64,, ,직거래,-
서울특별시 강동구 성내동,599,599,0,우림루미아트,64.26,202201,26,"71,800",3,2004,양재대로101길 46,, ,중개거래,서울 강동구
서울특별시 강동구 성내동,405-9,405,9,한솔파로스,81.5,202201,28,"64,510",7,2010,양재대로95길 60,, ,직거래,-
서울특별시 강동구 암사동,461,461,0,대원,59.9,202201,17,"72,500",12,1998,고덕로 52,, ,중개거래,"서울 강남구, 서울 강동구"
서울특별시 강동구 암사동,414-2,414,2,롯데캐슬퍼스트,59.99,202201,29,"125,000",8,2008,고덕로 131,, ,중개거래,서울 강동구
서울특별시 강동구 암사동,414-2,414,2,롯데캐슬퍼스트,59.99,202201,29,"118,000",6,2008,고덕로 131,, ,중개거래,서울 강동구
서울특별시 강동구 암사동,509,509,0,선사현대아파트,82.94,202201,28,"138,000",26,2000,상암로 11,, ,중개거래,서울 강동구
서울특별시 강동구 천호동,568,568,0,강변그대가리버뷰,84.99,202201,28,"148,500",15,2007,올림픽로89길 58,, ,중개거래,서울 강동구
서울특별시 강동구 천호동,Jan-52,52,1,광남캐스빌아파트,81.35,202201,24,"70,000",4,2003,양재대로121길 31,, ,중개거래,서울 강동구
서울특별시 강동구 천호동,217-132,217,132,동아하이빌아파트,84.97,202201,28,"102,500",7,2000,구천면로 278,, ,중개거래,서울 강동구
서울특별시 강동구 천호동,414,414,0,두산위브센티움,31.97,202201,25,"15,000",3,2004,올림픽로70길 61,, ,중개거래,서울 강동구
서울특별시 강동구 천호동,571,571,0,래미안강동팰리스,84.97,202201,7,"160,000",33,2017,천호대로 1077,, ,중개거래,서울 강동구
서울특별시 강동구 천호동,571,571,0,래미안강동팰리스,59.98,202201,12,"142,000",18,2017,천호대로 1077,, ,중개거래,서울 강동구
서울특별시 강동구 천호동,571,571,0,래미안강동팰리스,84.97,202201,24,"165,000",40,2017,천호대로 1077,, ,중개거래,서울 강동구
서울특별시 강동구 천호동,416-12,416,12,엘림스퀘어II,17.58,202201,17,"17,600",12,2019,구천면로24길 9,, ,중개거래,서울 강동구
서울특별시 강북구 미아동,1356,1356,0,경남아너스빌(1356-0),114.922,202201,30,"89,000",12,2003,오패산로30길 30,, ,직거래,-
서울특별시 강북구 미아동,813,813,0,래미안트리베라1단지,84.97,202201,19,"104,700",10,2010,삼양로19길 25,, ,중개거래,서울 강북구
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202201,4,"71,000",11,2004,솔샘로 174,, ,중개거래,서울 강북구
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.76,202201,11,"80,400",8,2004,솔샘로 174,, ,중개거래,서울 성북구
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.86,202201,14,"81,000",18,2004,솔샘로 174,, ,중개거래,서울 강북구
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202201,15,"70,000",10,2004,솔샘로 174,, ,중개거래,서울 강북구
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.86,202201,25,"84,000",22,2004,솔샘로 174,, ,직거래,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.92,202201,29,"85,000",7,2004,솔샘로 174,, ,중개거래,"서울 강북구, 서울 성동구"
서울특별시 강북구 미아동,160-3,160,3,푸르지오시티,37.4389,202201,17,"29,000",19,2014,도봉로 290,, ,중개거래,서울 강북구
서울특별시 강북구 미아동,160-3,160,3,푸르지오시티,18.6479,202201,27,"12,000",20,2014,도봉로 290,, ,직거래,-
서울특별시 강북구 번동,191,191,0,기산그린,84.94,202201,26,"63,000",8,2000,월계로37길 137,, ,중개거래,서울 강북구
서울특별시 강북구 번동,410,410,0,수유역두산위브1,84.9909,202201,14,"82,500",5,2009,덕릉로41길 12,, ,중개거래,서울 강북구
서울특별시 강북구 번동,760,760,0,오동공원현대,84.7848,202201,4,"75,000",10,2001,오현로31길 89,, ,중개거래,서울 강북구
서울특별시 강북구 번동,234,234,0,주공4단지,76.51,202201,17,"75,000",6,1991,오현로 207,, ,중개거래,서울 강북구
서울특별시 강북구 수유동,730,730,0,래미안수유,84.993,202201,10,"84,500",14,2001,한천로159길 8,, ,중개거래,서울 강북구
서울특별시 강북구 수유동,50-82,50,82,성덕,62.91,202201,22,"37,000",6,2003,수유로12길 43,, ,중개거래,서울 강북구
서울특별시 강북구 수유동,205,205,0,수유벽산1차,84.95,202201,17,"74,000",11,1993,삼각산로 143-1,, ,중개거래,서울 강북구
서울특별시 강북구 수유동,648,648,0,수유벽산2차,57.46,202201,10,"46,000",3,1994,삼각산로 143-1,, ,중개거래,서울 강북구
서울특별시 강북구 수유동,733,733,0,수유역하이씨티,12.01,202201,11,"10,700",11,2014,도봉로71가길 16,, ,직거래,-
서울특별시 강북구 수유동,Aug-48,48,8,수유프리미어엠,15.13,202201,20,"10,100",7,2016,덕릉로 76,, ,중개거래,서울 강북구
서울특별시 강북구 수유동,282-20,282,20,정원,37.16,202201,20,"13,000",5,2006,4.19로1길 33,20220218, ,직거래,-
서울특별시 강북구 수유동,282-20,282,20,정원,37.16,202201,20,"15,000",5,2006,4.19로1길 33,20220217, ,직거래,-
서울특별시 강서구 가양동,1475,1475,0,강변,34.44,202201,5,"66,000",5,1992,허준로 139,, ,중개거래,서울 강서구
서울특별시 강서구 가양동,1496,1496,0,일신건영휴먼빌,84.95,202201,27,"117,000",15,2004,강서로 490,, ,중개거래,서울 강서구
서울특별시 강서구 가양동,1495,1495,0,한보구암마을,59.22,202201,26,"76,000",6,1999,허준로 76,, ,중개거래,서울 강서구
서울특별시 강서구 공항동,1374,1374,0,공항동부센트레빌,84.99,202201,22,"87,500",2,2009,남부순환로 11,, ,중개거래,서울 강서구
서울특별시 강서구 내발산동,741,741,0,마곡수명산파크2단지,84.82,202201,12,"124,000",6,2007,강서로47길 158,, ,직거래,-
서울특별시 강서구 내발산동,753,753,0,마곡수명산파크4단지,59.84,202201,29,"93,000",10,2008,수명로1길 16,, ,중개거래,서울 강서구
서울특별시 강서구 내발산동,657,657,0,우장산힐스테이트,84.98,202201,9,"140,000",9,2005,강서로 348,, ,중개거래,서울 강서구
서울특별시 강서구 내발산동,732,732,0,태승훼미리3차,84.46,202201,14,"62,300",2,2004,강서로45길 138,, ,중개거래,"서울 강서구, 서울 양천구"
서울특별시 강서구 등촌동,725,725,0,마곡루나플라체,22.05,202201,11,"32,500",12,2021,강서로56길 64,, ,직거래,-
서울특별시 강서구 등촌동,711,711,0,월드메르디앙,59.79,202201,6,"73,000",3,2002,양천로 420,, ,중개거래,서울 강서구
서울특별시 강서구 등촌동,695,695,0,주공5,58.14,202201,18,"85,000",11,1995,공항대로39길 74,, ,직거래,-
서울특별시 강서구 마곡동,748,748,0,마곡13단지힐스테이트마스터,84.9881,202201,6,"156,000",12,2017,마곡중앙1로 71,, ,중개거래,서울 강서구
서울특별시 강서구 마곡동,725-1,725,1,마곡힐스테이트,84.98,202201,27,"150,000",6,2017,마곡중앙3로 74,, ,중개거래,서울 강서구
서울특별시 강서구 마곡동,429,429,0,벽산,84.97,202201,15,"87,000",4,1999,양천로47길 118,, ,중개거래,서울 강서구
서울특별시 강서구 방화동,619-7,619,7,AirPalace(619-7),14.1,202201,22,"9,100",6,2013,개화동로27가길 33,, ,중개거래,서울 강서구
서울특별시 강서구 방화동,619-7,619,7,AirPalace(619-7),14.5,202201,25,"10,000",7,2013,개화동로27가길 33,, ,중개거래,서울 강서구
서울특별시 강서구 방화동,817,817,0,동성,64.65,202201,4,"75,000",11,1993,금낭화로23길 8,, ,중개거래,서울 강서구
서울특별시 강서구 방화동,895,895,0,동일스위트리버2차,59.47,202201,13,"61,000",2,2009,금낭화로24가길 6,, ,중개거래,서울 강서구
서울특별시 강서구 방화동,905,905,0,마곡노블리안,68.1975,202201,17,"67,600",1,2021,방화대로40길 37,, ,중개거래,서울 강동구
서울특별시 강서구 방화동,905,905,0,마곡노블리안,64.6995,202201,17,"70,400",5,2021,방화대로40길 37,, ,중개거래,서울 강동구
서울특별시 강서구 방화동,905,905,0,마곡노블리안,64.6995,202201,17,"70,400",5,2021,방화대로40길 37,, ,중개거래,서울 강동구
서울특별시 강서구 방화동,905,905,0,마곡노블리안,68.4838,202201,17,"73,000",5,2021,방화대로40길 37,, ,중개거래,서울 강동구
서울특별시 강서구 방화동,905,905,0,마곡노블리안,69.2556,202201,17,"73,000",5,2021,방화대로40길 37,, ,중개거래,서울 강동구
서울특별시 강서구 방화동,905,905,0,마곡노블리안,68.8475,202201,17,"71,900",6,2021,방화대로40길 37,, ,중개거래,서울 강동구
서울특별시 강서구 방화동,905,905,0,마곡노블리안,64.6995,202201,17,"66,250",1,2021,방화대로40길 37,, ,중개거래,서울 강동구
서울특별시 강서구 방화동,905,905,0,마곡노블리안,64.6995,202201,17,"66,250",1,2021,방화대로40길 37,, ,중개거래,서울 강동구
서울특별시 강서구 방화동,905,905,0,마곡노블리안,68.4838,202201,17,"68,600",1,2021,방화대로40길 37,, ,중개거래,서울 강동구
서울특별시 강서구 방화동,905,905,0,마곡노블리안,69.2556,202201,17,"68,600",1,2021,방화대로40길 37,, ,중개거래,서울 강동구
서울특별시 강서구 방화동,905,905,0,마곡노블리안,68.8475,202201,17,"68,600",2,2021,방화대로40길 37,, ,중개거래,서울 강동구
서울특별시 강서구 방화동,905,905,0,마곡노블리안,68.8475,202201,17,"68,600",2,2021,방화대로40길 37,, ,중개거래,서울 강동구
서울특별시 강서구 방화동,905,905,0,마곡노블리안,68.8475,202201,17,"71,900",6,2021,방화대로40길 37,, ,중개거래,서울 강동구
서울특별시 강서구 방화동,905,905,0,마곡노블리안,68.1975,202201,17,"71,600",6,2021,방화대로40길 37,, ,중개거래,서울 강동구
서울특별시 강서구 방화동,905,905,0,마곡노블리안,64.6995,202201,17,"70,400",6,2021,방화대로40길 37,, ,중개거래,서울 강동구
서울특별시 강서구 방화동,905,905,0,마곡노블리안,64.6995,202201,17,"70,400",6,2021,방화대로40길 37,, ,중개거래,서울 강동구
서울특별시 강서구 방화동,905,905,0,마곡노블리안,68.4838,202201,17,"73,000",6,2021,방화대로40길 37,, ,중개거래,서울 강동구
서울특별시 강서구 방화동,905,905,0,마곡노블리안,69.2556,202201,17,"73,000",6,2021,방화대로40길 37,, ,중개거래,서울 강동구
