□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,
계약일자 : 20200101 ~ 20200131,,,,,,,,,,,,,,,
실거래구분 : 아파트(매매),,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,
시도 : 서울특별시,,,,,,,,,,,,,,,
시군구 : 전체,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,중개사소재지
서울특별시 강남구 개포동,652,652,0,개포우성3차,133.46,202001,9,"220,000",3,1984,개포로 307,, ,-,-
서울특별시 강남구 개포동,12-02,12,2,개포자이,134.3,202001,6,"203,000",17,2004,개포로109길 69,, ,-,-
서울특별시 강남구 개포동,185,185,0,개포주공6단지,60.13,202001,14,"180,000",14,1983,개포로 516,, ,-,-
서울특별시 강남구 개포동,185,185,0,개포주공7단지,60.76,202001,12,"171,000",2,1983,개포로 516,, ,-,-
서울특별시 강남구 개포동,138,138,0,디에이치아너힐즈,94.29,202001,4,"285,000",12,2019,삼성로 11,, ,-,-
서울특별시 강남구 개포동,1280,1280,0,래미안블레스티지,59.897,202001,17,"188,000",4,2019,선릉로 8,, ,-,-
서울특별시 강남구 개포동,12,12,0,삼익대청아파트,60,202001,11,"146,000",14,1992,개포로109길 21,, ,-,-
서울특별시 강남구 개포동,12,12,0,삼익대청아파트,39.53,202001,31,"100,500",13,1992,개포로109길 21,, ,-,-
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,49.86,202001,4,"124,500",6,1992,개포로109길 9,, ,-,-
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,39.53,202001,10,"103,000",2,1992,개포로109길 9,, ,-,-
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,39.53,202001,13,"111,000",14,1992,개포로109길 9,, ,-,-
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,39.53,202001,28,"107,000",3,1992,개포로109길 9,, ,-,-
서울특별시 강남구 논현동,241-1,241,1,논현파라곤,120.21,202001,20,"150,000",12,2007,학동로 338,, ,-,-
서울특별시 강남구 논현동,258,258,0,두산위브2단지,83.464,202001,20,"137,000",9,2004,언주로122길 25,, ,-,-
서울특별시 강남구 논현동,55,55,0,스위트캐슬레지던스,203.17,202001,17,"240,000",6,2004,학동로7길 6,, ,-,-
서울특별시 강남구 논현동,22,22,0,신동아(22),84.52,202001,18,"144,000",11,1997,강남대로146길 28,, ,-,-
서울특별시 강남구 논현동,22,22,0,신동아(22),114.34,202001,20,"165,000",13,1997,강남대로146길 28,, ,-,-
서울특별시 강남구 논현동,22,22,0,신동아(22),35.73,202001,30,"80,000",11,1997,강남대로146길 28,, ,-,-
서울특별시 강남구 논현동,108-2,108,2,제이빌,75.12,202001,14,"80,000",2,2004,학동로43길 30,, ,-,-
서울특별시 강남구 논현동,Mar-62,62,3,"청학아파트에이동,비동,씨동",85.12,202001,17,"110,000",5,1976,도산대로 232,, ,-,-
서울특별시 강남구 논현동,221-7,221,7,한양수자인어반게이트,16.2,202001,31,"21,200",3,2013,봉은사로29길 35,, ,-,-
서울특별시 강남구 대치동,891-28,891,28,대치동우정에쉐르1,79.07,202001,7,"84,000",2,2004,삼성로85길 38,, ,-,-
서울특별시 강남구 대치동,888,888,0,대치아이파크,114.97,202001,2,"300,000",10,2008,선릉로 222,, ,-,-
서울특별시 강남구 대치동,888,888,0,대치아이파크,84.95,202001,11,"247,000",12,2008,선릉로 222,, ,-,-
서울특별시 강남구 대치동,888,888,0,대치아이파크,84.93,202001,14,"252,500",9,2008,선릉로 222,, ,-,-
서울특별시 강남구 대치동,63,63,0,"대치우성아파트1동,2동,3동,5동,6동,7동",84.69,202001,20,"208,000",2,1984,영동대로 230,, ,-,-
서울특별시 강남구 대치동,670,670,0,동부센트레빌,145.83,202001,9,"375,000",8,2005,선릉로 206,, ,-,-
서울특별시 강남구 대치동,670,670,0,동부센트레빌,145.83,202001,23,"370,000",20,2005,선릉로 206,, ,-,-
서울특별시 강남구 대치동,1027,1027,0,래미안대치팰리스,94.5,202001,4,"340,000",11,2015,삼성로51길 37,, ,-,-
서울특별시 강남구 대치동,506,506,0,선경2차(8동-12동),127.75,202001,14,"300,000",12,1985,삼성로 151,, ,-,-
서울특별시 강남구 대치동,890-49,890,49,선릉역대우아이빌(890-49),25.42,202001,8,"24,500",14,2004,테헤란로64길 9,, ,-,-
서울특별시 강남구 대치동,316,316,0,은마,84.43,202001,14,"220,000",13,1979,삼성로 212,, ,-,-
서울특별시 강남구 대치동,891-6,891,6,테헤란로대우아이빌(891-6),29.02,202001,21,"34,000",13,2004,테헤란로 428,, ,-,-
서울특별시 강남구 대치동,902,902,0,포스코더샵,139.54,202001,2,"247,000",3,2004,삼성로 417,, ,-,-
서울특별시 강남구 대치동,992,992,0,현대1,84.27,202001,13,"165,000",4,1990,영동대로57길 28,, ,-,-
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,177.255,202001,23,"230,000",20,1999,언주로30길 13,, ,-,-
