서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,172.464,202001,31,"237,000",30,1999,언주로30길 13,, ,-,-
서울특별시 강남구 도곡동,543-7,543,7,도곡1차아이파크,130.259,202001,13,"225,000",10,2007,도곡로28길 8,, ,-,-
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,59.9772,202001,29,"164,800",19,2006,선릉로 221,, ,-,-
서울특별시 강남구 도곡동,462-2,462,2,로덴하우스웨스트빌리지,273.68,202001,21,"545,000",19,2009,남부순환로378길 11,, ,-,-
서울특별시 강남구 도곡동,161,161,0,삼성,73.41,202001,10,"148,000",2,1994,남부순환로379길 14,, ,-,-
서울특별시 강남구 도곡동,May-91,91,5,삼성래미안,84.89,202001,15,"192,000",7,2001,남부순환로 2803,, ,-,-
서울특별시 강남구 도곡동,467-7,467,7,아카데미스위트1,164.87,202001,2,"200,000",7,2004,언주로30길 21,, ,-,-
서울특별시 강남구 도곡동,467-7,467,7,아카데미스위트1,122.07,202001,30,"168,500",35,2004,언주로30길 21,, ,-,-
서울특별시 강남구 도곡동,463-1,463,1,우성사원5,70.89,202001,6,"130,000",4,1986,언주로29길 34,, ,-,-
서울특별시 강남구 도곡동,463-1,463,1,우성사원5,70.89,202001,13,"146,000",2,1986,언주로29길 34,, ,-,-
서울특별시 강남구 도곡동,463-1,463,1,우성사원5,70.89,202001,31,"149,500",7,1986,언주로29길 34,, ,-,-
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터199,132.94,202001,2,"170,000",5,1998,언주로 118,, ,-,-
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터199,132.94,202001,13,"174,000",25,1998,언주로 118,, ,-,-
서울특별시 강남구 도곡동,467-17,467,17,타워팰리스2,164.99,202001,6,"310,000",35,2003,언주로30길 57,, ,-,-
서울특별시 강남구 도곡동,467-17,467,17,타워팰리스2,115.63,202001,9,"232,000",31,2003,언주로30길 57,, ,-,-
서울특별시 강남구 도곡동,467-17,467,17,타워팰리스2,164.99,202001,9,"310,000",35,2003,언주로30길 57,, ,-,-
서울특별시 강남구 도곡동,467-29,467,29,타워팰리스3,141.381,202001,16,"270,000",35,2004,언주로30길 26,, ,-,-
서울특별시 강남구 도곡동,944-5,944,5,현대아이리스1,113.18,202001,14,"95,000",4,2004,도곡로6길 14,, ,-,-
서울특별시 강남구 도곡동,153-2,153,2,현대향목빌라트,244.59,202001,15,"195,000",2,1996,남부순환로379길 26,, ,-,-
서울특별시 강남구 삼성동,104-10,104,10,레미안삼성1차(101동),125.8,202001,30,"245,000",11,2005,영동대로114길 56,, ,-,-
서울특별시 강남구 삼성동,147-2,147,2,미켈란147,83.69,202001,10,"148,000",16,2004,봉은사로 516,, ,-,-
서울특별시 강남구 삼성동,43,43,0,삼성동롯데캐슬킹덤,170.8,202001,17,"295,000",12,2005,선릉로112길 53,, ,-,-
서울특별시 강남구 삼성동,71-16,71,16,삼성팰리스(71-16),114.26,202001,20,"145,000",8,2006,삼성로112길 8,, ,-,-
서울특별시 강남구 삼성동,129-5,129,5,삼성펠리스,174.1,202001,16,"161,000",6,2005,테헤란로79길 31,, ,-,-
서울특별시 강남구 삼성동,2,2,0,서광아파트,59.67,202001,10,"145,000",4,1998,선릉로130길 19,, ,-,-
서울특별시 강남구 삼성동,50,50,0,현대힐스테이트2단지,84.679,202001,3,"224,500",5,2008,삼성로111길 8,, ,-,-
서울특별시 강남구 삼성동,50,50,0,현대힐스테이트2단지,38.671,202001,8,"124,500",21,2008,삼성로111길 8,, ,-,-
서울특별시 강남구 세곡동,525,525,0,강남데시앙파크,114.69,202001,28,"125,000",4,2011,헌릉로590길 63,, ,-,-
서울특별시 강남구 세곡동,579,579,0,강남엘에이치1단지,74.74,202001,6,"106,500",4,2013,헌릉로571길 20,, ,-,-
서울특별시 강남구 세곡동,533,533,0,세곡푸르지오,74.74,202001,11,"124,000",14,2012,자곡로 21,, ,-,-
서울특별시 강남구 세곡동,533,533,0,세곡푸르지오,59.89,202001,28,"108,500",5,2012,자곡로 21,, ,-,-
서울특별시 강남구 세곡동,533,533,0,세곡푸르지오,59.89,202001,30,"107,000",13,2012,자곡로 21,, ,-,-
서울특별시 강남구 수서동,746,746,0,까치마을,39.6,202001,3,"87,000",13,1993,광평로19길 10,, ,-,-
서울특별시 강남구 수서동,746,746,0,까치마을,34.44,202001,15,"79,500",9,1993,광평로19길 10,, ,-,-
서울특별시 강남구 수서동,746,746,0,까치마을,39.6,202001,17,"85,000",3,1993,광평로19길 10,, ,-,-
서울특별시 강남구 수서동,746,746,0,까치마을,39.6,202001,18,"84,000",2,1993,광평로19길 10,, ,-,-
서울특별시 강남구 수서동,746,746,0,까치마을,39.6,202001,28,"89,900",8,1993,광평로19길 10,, ,-,-
서울특별시 강남구 수서동,708,708,0,삼익,60,202001,20,"120,000",15,1992,광평로51길 27,, ,-,-
서울특별시 강남구 수서동,708,708,0,삼익,84.48,202001,31,"139,000",2,1992,광평로51길 27,, ,-,-
서울특별시 강남구 수서동,708,708,0,삼익,60,202001,31,"119,000",2,1992,광평로51길 27,, ,-,-
서울특별시 강남구 수서동,736,736,0,신동아,39.53,202001,4,"102,000",9,1992,광평로47길 17,, ,-,-
서울특별시 강남구 수서동,736,736,0,신동아,33.18,202001,4,"88,000",7,1992,광평로47길 17,, ,-,-
서울특별시 강남구 수서동,736,736,0,신동아,49.96,202001,11,"109,000",6,1992,광평로47길 17,, ,-,-
서울특별시 강남구 수서동,736,736,0,신동아,39.51,202001,18,"100,000",10,1992,광평로47길 17,, ,-,-
서울특별시 강남구 신사동,524-8,524,8,RudenHouse,73.22,202001,9,"39,000",-1,2007,강남대로162길 41-8,, ,-,-
서울특별시 강남구 신사동,524-8,524,8,RudenHouse,84.98,202001,22,"88,000",4,2007,강남대로162길 41-8,, ,-,-
서울특별시 강남구 신사동,506-9,506,9,래미안신사,84.89,202001,7,"137,000",3,2008,압구정로2길 20,, ,-,-
서울특별시 강남구 신사동,506-9,506,9,래미안신사,84.89,202001,23,"145,000",10,2008,압구정로2길 20,, ,-,-
서울특별시 강남구 신사동,522,522,0,신사아이빌(522),90.35,202001,4,"88,000",4,2006,압구정로2길 15,, ,-,-
서울특별시 강남구 신사동,562-24,562,24,신사파크빌B동,131.99,202001,29,"85,000",1,2004,도산대로25길 15-17,, ,-,-
서울특별시 강남구 신사동,569-1,569,1,현대아인빌,138.7,202001,7,"164,000",3,2004,압구정로22길 29,, ,-,-
서울특별시 강남구 압구정동,397,397,0,미성2차,74.4,202001,3,"210,000",13,1987,압구정로 113,, ,-,-
서울특별시 강남구 압구정동,397,397,0,미성2차,118.63,202001,16,"270,000",5,1987,압구정로 113,, ,-,-
서울특별시 강남구 압구정동,426,426,0,신현대9차,108.88,202001,22,"280,000",4,1982,압구정로 151,, ,-,-
서울특별시 강남구 압구정동,490,490,0,한양1차(영동한양),78.05,202001,18,"213,000",6,1977,압구정로 321,, ,-,-
서울특별시 강남구 압구정동,369-1,369,1,"현대1차(12,13,21,22,31,32,33동)",131.49,202001,11,"299,000",11,1976,압구정로29길 71,, ,-,-
서울특별시 강남구 압구정동,369-1,369,1,"현대1차(12,13,21,22,31,32,33동)",196.21,202001,30,"470,000",14,1976,압구정로29길 71,, ,-,-
서울특별시 강남구 역삼동,796-29,796,29,강남서해더블루,62.26,202001,6,"85,000",10,2012,논현로63길 16,, ,-,-
서울특별시 강남구 역삼동,783-3,783,3,갤러리하우스,76.52,202001,9,"74,950",5,2002,도곡로33길 16,, ,-,-
서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,30.03,202001,20,"32,000",6,2002,언주로 427,, ,-,-
서울특별시 강남구 역삼동,716,716,0,동부센트레빌,59.82,202001,6,"148,800",21,1998,선릉로 423,, ,-,-
서울특별시 강남구 역삼동,681-46,681,46,성영forU,115.4,202001,14,"125,000",3,2004,선릉로107길 24,, ,-,-
서울특별시 강남구 역삼동,791-23,791,23,세종빌라트,122.45,202001,15,"55,000",1,1998,도곡로23길 31,, ,-,-
서울특별시 강남구 역삼동,713-11,713,11,역삼I'PARK,130.156,202001,13,"270,000",16,2006,역삼로 307,, ,-,-
서울특별시 강남구 역삼동,826-29,826,29,역삼동우정에쉐르1,57.98,202001,16,"65,000",12,2004,테헤란로4길 32,, ,-,-
서울특별시 강남구 역삼동,757,757,0,역삼래미안,59.4,202001,11,"157,500",20,2005,선릉로69길 19,, ,-,-
서울특별시 강남구 역삼동,664-5,664,5,역삼예명,67.08,202001,18,"58,000",3,2001,봉은사로34길 53,, ,-,-
서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,84.9097,202001,11,"208,000",2,2006,언주로 332,, ,-,-
서울특별시 강남구 역삼동,706-11,706,11,우림루미아트1,24,202001,3,"20,200",8,2003,언주로90길 6,, ,-,-
서울특별시 강남구 역삼동,706-11,706,11,우림루미아트1,23.9,202001,6,"20,400",7,2003,언주로90길 6,, ,-,-
서울특별시 강남구 역삼동,706-11,706,11,우림루미아트1,23.9,202001,9,"20,500",10,2003,언주로90길 6,, ,-,-
서울특별시 강남구 역삼동,789-29,789,29,지석천평대,63.03,202001,28,"55,500",4,2003,논현로71길 48,, ,-,-
서울특별시 강남구 역삼동,766-8,766,8,트레벨,33.48,202001,6,"56,000",4,2002,도곡로57길 9-7,, ,-,-
서울특별시 강남구 역삼동,635-5,635,5,풍림지오빌,42.69,202001,13,"45,000",3,2002,테헤란로5길 36,, ,-,-
서울특별시 강남구 역삼동,836,836,0,한스빌(836),41.95,202001,4,"39,500",11,1996,도곡로3길 26,, ,-,-
서울특별시 강남구 역삼동,706-20,706,20,한화진넥스빌,39.2,202001,20,"35,800",13,2001,언주로86길 11,, ,-,-
서울특별시 강남구 역삼동,775-15,775,15,현대하이츠,99.22,202001,3,"77,000",4,2004,역삼로34길 12,, ,-,-
서울특별시 강남구 율현동,513,513,0,강남한신휴플러스8단지,101.96,202001,9,"130,000",4,2015,밤고개로27길 20,, ,-,-
서울특별시 강남구 일원동,741,741,0,래미안 개포 루체하임,101.97,202001,21,"250,000",22,2018,개포로110길 50,, ,-,-
서울특별시 강남구 일원동,716,716,0,목련타운,134.71,202001,23,"185,000",2,1993,광평로19길 15,, ,-,-
서울특별시 강남구 일원동,719,719,0,푸른마을아파트101동~111동,59.76,202001,3,"120,000",7,1994,일원로14길 25,, ,-,-
서울특별시 강남구 일원동,719,719,0,푸른마을아파트101동~111동,84.93,202001,6,"162,000",14,1994,일원로14길 25,, ,-,-
서울특별시 강남구 일원동,719,719,0,푸른마을아파트101동~111동,84.93,202001,13,"159,500",8,1994,일원로14길 25,, ,-,-
서울특별시 강남구 일원동,719,719,0,푸른마을아파트101동~111동,59.76,202001,13,"129,500",9,1994,일원로14길 25,, ,-,-
서울특별시 강남구 자곡동,611,611,0,래미안강남힐즈,91.96,202001,18,"146,000",3,2014,자곡로 101,, ,-,-
서울특별시 강남구 청담동,10,10,0,삼환(101동),84.88,202001,18,"144,000",1,1999,학동로77길 49,, ,-,-
서울특별시 강남구 청담동,10,10,0,삼환(101동),114.97,202001,18,"167,000",5,1999,학동로77길 49,, ,-,-
서울특별시 강남구 청담동,30-33,30,33,청담대림이-편한세상,113.57,202001,10,"195,000",8,2002,학동로77길 27,, ,-,-
서울특별시 강남구 청담동,109-16,109,16,청담범신칼릭스빌2차,102.69,202001,15,"143,000",3,2007,도산대로89길 35,, ,-,-
서울특별시 강남구 청담동,34-13,34,13,청담스위트,14.224,202001,14,"22,000",3,2015,학동로73길 13,, ,-,-
서울특별시 강남구 청담동,34-13,34,13,청담스위트,13.425,202001,18,"21,600",3,2015,학동로73길 13,, ,-,-
서울특별시 강남구 청담동,34-13,34,13,청담스위트,13.425,202001,31,"23,000",3,2015,학동로73길 13,, ,-,-
서울특별시 강남구 청담동,134-38,134,38,청담자이,49.618,202001,11,"176,000",24,2011,영동대로138길 12,, ,-,-
서울특별시 강남구 청담동,134-38,134,38,청담자이,49.619,202001,30,"176,000",26,2011,영동대로138길 12,, ,-,-
서울특별시 강남구 청담동,05-25,5,25,휴먼스타빌,35.905,202001,4,"60,000",22,2005,도산대로 454,, ,-,-
서울특별시 강동구 강일동,695,695,0,강일리버파크10단지,84.53,202001,28,"80,800",11,2009,고덕로97길 20,, ,-,-
서울특별시 강동구 강일동,674,674,0,강일리버파크3단지,84.74,202001,11,"79,000",10,2009,아리수로93길 40,, ,-,-
서울특별시 강동구 강일동,674,674,0,강일리버파크3단지,59.87,202001,17,"68,000",12,2009,아리수로93길 40,, ,-,-
서울특별시 강동구 강일동,670,670,0,강일리버파크5단지,84.83,202001,10,"80,000",14,2009,아리수로97길 20,, ,-,-
서울특별시 강동구 강일동,670,670,0,강일리버파크5단지,84.53,202001,12,"81,900",11,2009,아리수로97길 20,, ,-,-
서울특별시 강동구 강일동,684,684,0,강일리버파크6단지,84.53,202001,11,"79,000",10,2009,아리수로94길 19,, ,-,-
서울특별시 강동구 강일동,701,701,0,강일리버파크8단지,84.53,202001,10,"79,800",1,2009,아리수로94길 72,, ,-,-
서울특별시 강동구 강일동,701,701,0,강일리버파크8단지,84.74,202001,11,"78,000",8,2009,아리수로94길 72,, ,-,-
서울특별시 강동구 강일동,699,699,0,강일리버파크9단지,84.53,202001,18,"82,000",10,2009,고덕로97길 29,, ,-,-
서울특별시 강동구 강일동,707,707,0,고덕리엔파크1단지,84.83,202001,4,"88,000",8,2011,상일로 152,, ,-,-
서울특별시 강동구 강일동,717,717,0,고덕리엔파크2단지,59.72,202001,10,"73,800",12,2011,고덕로 427,, ,-,-
서울특별시 강동구 고덕동,693,693,0,고덕그라시움,59.785,202001,19,"117,000",18,2019,고덕로 333,, ,-,-
서울특별시 강동구 고덕동,688,688,0,래미안힐스테이트고덕,109.81,202001,3,"155,300",16,2016,아리수로50길 50,, ,-,-
서울특별시 강동구 고덕동,688,688,0,래미안힐스테이트고덕,97.26,202001,4,"147,500",14,2016,아리수로50길 50,, ,-,-
서울특별시 강동구 고덕동,688,688,0,래미안힐스테이트고덕,84.88,202001,9,"134,800",15,2016,아리수로50길 50,, ,-,-
서울특별시 강동구 고덕동,688,688,0,래미안힐스테이트고덕,84.83,202001,16,"140,000",22,2016,아리수로50길 50,, ,-,-
서울특별시 강동구 고덕동,688,688,0,래미안힐스테이트고덕,84.94,202001,17,"135,000",33,2016,아리수로50길 50,, ,-,-
서울특별시 강동구 고덕동,688,688,0,래미안힐스테이트고덕,59.23,202001,19,"118,800",27,2016,아리수로50길 50,, ,-,-
서울특별시 강동구 고덕동,688,688,0,래미안힐스테이트고덕,84.83,202001,20,"139,500",27,2016,아리수로50길 50,, ,-,-
서울특별시 강동구 고덕동,688,688,0,래미안힐스테이트고덕,59.23,202001,20,"114,500",22,2016,아리수로50길 50,, ,-,-
서울특별시 강동구 고덕동,312,312,0,배재현대,59.94,202001,2,"74,500",20,1995,고덕로61길 37,, ,-,-
서울특별시 강동구 고덕동,312,312,0,배재현대,84.9,202001,21,"94,500",11,1995,고덕로61길 37,, ,-,-
서울특별시 강동구 고덕동,312,312,0,배재현대,59.94,202001,30,"80,000",5,1995,고덕로61길 37,, ,-,-
서울특별시 강동구 고덕동,486,486,0,아남1,84.91,202001,8,"85,000",15,1996,양재대로 1706,, ,-,-
서울특별시 강동구 고덕동,486,486,0,아남1,50.2,202001,18,"58,000",10,1996,양재대로 1706,, ,-,-
서울특별시 강동구 고덕동,486,486,0,아남1,84.91,202001,27,"56,000",16,1996,양재대로 1706,, ,-,-
서울특별시 강동구 길동,378-1,378,1,SM드림빌,77.05,202001,11,"50,800",7,2002,양재대로115길 7,, ,-,-
서울특별시 강동구 길동,Jun-97,97,6,SM해그린12차,80.82,202001,11,"47,600",7,2006,천중로56길 13,, ,-,-
서울특별시 강동구 길동,474,474,0,강동LG자이,126.43,202001,4,"110,800",12,2003,천호대로 1239,, ,-,-
서울특별시 강동구 길동,474,474,0,강동LG자이,147.17,202001,20,"120,000",12,2003,천호대로 1239,, ,-,-
서울특별시 강동구 길동,474,474,0,강동LG자이,84.88,202001,30,"90,000",8,2003,천호대로 1239,, ,-,-
서울특별시 강동구 길동,457-1,457,1,강동렘브란트,15.86,202001,28,"11,500",8,2014,천호대로177길 9,, ,-,-
서울특별시 강동구 길동,415-13,415,13,강동큐브(2차),15.12,202001,19,"11,300",12,2013,진황도로 85,, ,-,-
서울특별시 강동구 길동,414-10,414,10,강동한신휴플러스,84.98,202001,7,"51,000",3,2006,진황도로 99,, ,-,-
서울특별시 강동구 길동,414-10,414,10,강동한신휴플러스,84.98,202001,10,"49,800",7,2006,진황도로 99,, ,-,-
서울특별시 강동구 길동,414-10,414,10,강동한신휴플러스,84.98,202001,18,"52,000",4,2006,진황도로 99,, ,-,-
서울특별시 강동구 길동,414-10,414,10,강동한신휴플러스,81.02,202001,18,"51,000",11,2006,진황도로 99,, ,-,-
서울특별시 강동구 길동,413-11,413,11,경지Arium,19.39,202001,6,"28,100",9,2019,천호대로177길 40,, ,-,-
서울특별시 강동구 길동,413-11,413,11,경지Arium,14.12,202001,7,"21,400",14,2019,천호대로177길 40,, ,-,-
서울특별시 강동구 길동,413-11,413,11,경지Arium,14.12,202001,9,"21,400",13,2019,천호대로177길 40,, ,-,-
서울특별시 강동구 길동,413-11,413,11,경지Arium,14.12,202001,10,"21,400",14,2019,천호대로177길 40,, ,-,-
서울특별시 강동구 길동,413-11,413,11,경지Arium,19.39,202001,10,"28,100",11,2019,천호대로177길 40,, ,-,-
서울특별시 강동구 길동,413-11,413,11,경지Arium,14.12,202001,10,"21,400",15,2019,천호대로177길 40,, ,-,-
서울특별시 강동구 길동,413-11,413,11,경지Arium,14.12,202001,11,"21,400",13,2019,천호대로177길 40,, ,-,-
서울특별시 강동구 길동,413-11,413,11,경지Arium,14.12,202001,13,"20,500",3,2019,천호대로177길 40,, ,-,-
서울특별시 강동구 길동,413-11,413,11,경지Arium,14.12,202001,14,"21,400",13,2019,천호대로177길 40,, ,-,-
서울특별시 강동구 길동,413-11,413,11,경지Arium,14.33,202001,16,"21,400",16,2019,천호대로177길 40,, ,-,-
서울특별시 강동구 길동,413-11,413,11,경지Arium,14.12,202001,17,"21,400",14,2019,천호대로177길 40,, ,-,-
서울특별시 강동구 길동,413-11,413,11,경지Arium,14.12,202001,17,"21,400",14,2019,천호대로177길 40,, ,-,-
서울특별시 강동구 길동,413-11,413,11,경지Arium,19.39,202001,17,"28,100",10,2019,천호대로177길 40,, ,-,-
서울특별시 강동구 길동,413-11,413,11,경지Arium,14.12,202001,21,"20,800",6,2019,천호대로177길 40,, ,-,-
서울특별시 강동구 길동,413-11,413,11,경지Arium,14.12,202001,28,"20,500",3,2019,천호대로177길 40,, ,-,-
서울특별시 강동구 길동,413-11,413,11,경지Arium,14.33,202001,28,"20,500",3,2019,천호대로177길 40,, ,-,-
서울특별시 강동구 길동,413-11,413,11,경지Arium,19.39,202001,29,"27,500",4,2019,천호대로177길 40,, ,-,-
서울특별시 강동구 길동,413-11,413,11,경지Arium,14.12,202001,30,"21,100",9,2019,천호대로177길 40,, ,-,-
서울특별시 강동구 길동,385-3,385,3,광남벨라스613V,84.13,202001,11,"52,700",8,2004,천중로38가길 53,, ,-,-
서울특별시 강동구 길동,385-3,385,3,광남벨라스613V,84.13,202001,29,"55,000",3,2004,천중로38가길 53,, ,-,-
서울특별시 강동구 길동,247,247,0,광남캐스빌(247-0),84.44,202001,11,"56,450",9,2006,진황도로 123,, ,-,-
서울특별시 강동구 길동,400,400,0,길동우성,57.1,202001,9,"60,500",3,1994,천호대로193길 37,, ,-,-
서울특별시 강동구 길동,400,400,0,길동우성,40.36,202001,18,"52,800",5,1994,천호대로193길 37,, ,-,-
서울특별시 강동구 길동,400,400,0,길동우성,57.1,202001,23,"61,050",4,1994,천호대로193길 37,, ,-,-
서울특별시 강동구 길동,400,400,0,길동우성,40.36,202001,28,"50,000",9,1994,천호대로193길 37,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,22.96,202001,14,"28,900",13,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,349-1,349,1,다성이즈빌(349-1),17.2,202001,10,"13,400",7,2012,천중로 200,, ,-,-
서울특별시 강동구 길동,349-1,349,1,다성이즈빌(349-1),16.88,202001,28,"14,000",6,2012,천중로 200,, ,-,-
서울특별시 강동구 길동,387-4,387,4,다성이즈빌(387-4),21.32,202001,20,"26,900",7,2018,천중로42길 68,, ,-,-
서울특별시 강동구 길동,388-7,388,7,다성이즈빌(주상복합),36.62,202001,23,"28,700",6,2015,천중로42길 69,, ,-,-
서울특별시 강동구 길동,339-1,339,1,동서울오네뜨,84.87,202001,15,"52,500",5,2009,양재대로124길 32,, ,-,-
서울특별시 강동구 길동,356-8,356,8,문화1,59.92,202001,30,"41,000",5,1998,천중로52길 24-1,, ,-,-
서울특별시 강동구 길동,184,184,0,삼익세라믹,84.85,202001,2,"56,500",6,1992,천호대로199길 40,, ,-,-
서울특별시 강동구 길동,184,184,0,삼익세라믹,84.85,202001,6,"55,500",11,1992,천호대로199길 40,, ,-,-
서울특별시 강동구 길동,184,184,0,삼익세라믹,84.85,202001,12,"54,000",2,1992,천호대로199길 40,, ,-,-
서울특별시 강동구 길동,184,184,0,삼익세라믹,84.85,202001,22,"58,200",8,1992,천호대로199길 40,, ,-,-
서울특별시 강동구 길동,184,184,0,삼익세라믹,84.85,202001,23,"58,200",8,1992,천호대로199길 40,, ,-,-
서울특별시 강동구 길동,53,53,0,삼익파크맨션,59.65,202001,2,"60,000",10,1982,명일로 293,, ,-,-
서울특별시 강동구 길동,53,53,0,삼익파크맨션,62.91,202001,2,"62,000",5,1982,명일로 286,, ,-,-
