□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,
계약일자 : 20190101 ~ 20190131,,,,,,,,,,,,,,,
실거래구분 : 아파트(매매),,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,
시도 : 서울특별시,,,,,,,,,,,,,,,
시군구 : 전체,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,중개사소재지
서울특별시 강남구 개포동,652,652,0,개포우성3차,133.46,201901,12,"197,000",12,1984,개포로 307,, ,-,-
서울특별시 강남구 개포동,189,189,0,개포주공4단지,41.99,201901,26,"137,000",1,1982,삼성로 14,,20190226,-,-
서울특별시 강남구 개포동,187,187,0,개포주공5단지,83.17,201901,22,"176,000",9,1983,삼성로4길 17,, ,-,-
서울특별시 강남구 개포동,185,185,0,개포주공6단지,60.13,201901,25,"135,000",8,1983,개포로 516,, ,-,-
서울특별시 강남구 개포동,185,185,0,개포주공7단지,60.76,201901,25,"132,000",6,1983,개포로 516,, ,-,-
서울특별시 강남구 개포동,1242-2,1242,2,개포현대6차,132.63,201901,13,"102,000",6,1993,개포로15길 32-8,, ,-,-
서울특별시 강남구 개포동,649,649,0,경남2차,182.2,201901,26,"229,500",6,1984,언주로 110,, ,-,-
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,39.53,201901,9,"88,200",8,1992,개포로109길 9,, ,-,-
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,49.86,201901,14,"101,900",14,1992,개포로109길 9,, ,-,-
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,39.53,201901,26,"87,500",15,1992,개포로109길 9,, ,-,-
서울특별시 강남구 개포동,651-1,651,1,"우성9차아파트901동,902동",81.42,201901,16,"143,440",7,1991,개포로 311,, ,-,-
서울특별시 강남구 개포동,177,177,0,현대아파트3,84.87,201901,23,"152,000",9,1986,개포로 409,, ,-,-
서울특별시 강남구 대치동,1014-3,1014,3,대치삼성,97.35,201901,4,"175,000",10,2000,도곡로78길 22,, ,-,-
서울특별시 강남구 대치동,974,974,0,대치현대,85,201901,8,"150,000",11,1999,삼성로64길 5,, ,-,-
서울특별시 강남구 대치동,670,670,0,동부센트레빌,121.74,201901,31,"256,000",16,2005,선릉로 206,, ,-,-
서울특별시 강남구 대치동,506,506,0,선경1차(1동-7동),117.7,201901,19,"238,000",6,1983,삼성로 151,, ,-,-
서울특별시 강남구 대치동,890-49,890,49,선릉역대우아이빌(890-49),25.42,201901,4,"23,750",14,2004,테헤란로64길 9,, ,-,-
서울특별시 강남구 대치동,316,316,0,은마,76.79,201901,14,"156,800",10,1979,삼성로 212,, ,-,-
서울특별시 강남구 대치동,316,316,0,은마,76.79,201901,16,"157,000",10,1979,삼성로 212,, ,-,-
서울특별시 강남구 대치동,316,316,0,은마,76.79,201901,24,"140,000",1,1979,삼성로 212,, ,-,-
서울특별시 강남구 대치동,316,316,0,은마,76.79,201901,31,"151,200",4,1979,삼성로 212,, ,-,-
서울특별시 강남구 대치동,934-1,934,1,청원,84.9,201901,12,"86,000",4,2005,도곡로69길 16,, ,-,-
서울특별시 강남구 대치동,511,511,0,한보미도맨션1,84.48,201901,11,"185,000",13,1983,삼성로 150,, ,-,-
서울특별시 강남구 대치동,511,511,0,한보미도맨션1,84.48,201901,24,"179,000",2,1983,삼성로 150,, ,-,-
서울특별시 강남구 대치동,511,511,0,한보미도맨션2,84.96,201901,8,"175,000",3,1985,삼성로 150,, ,-,-
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,33.8,201901,7,"37,000",17,2006,강남대로 240,, ,-,-
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,177.255,201901,7,"185,000",8,1999,언주로30길 13,, ,-,-
서울특별시 강남구 도곡동,952,952,0,대우디오빌,25.89,201901,26,"25,600",6,2004,강남대로 256,, ,-,-
서울특별시 강남구 도곡동,543-7,543,7,도곡1차아이파크,130.259,201901,21,"163,000",4,2007,도곡로28길 8,, ,-,-
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,84.9984,201901,25,"187,500",10,2006,선릉로 221,, ,-,-
서울특별시 강남구 도곡동,933,933,0,도곡쌍용예가,66,201901,16,"120,000",8,1978,남부순환로363길 30,, ,-,-
서울특별시 강남구 도곡동,538-3,538,3,래미안도곡카운티,71.85,201901,23,"150,000",4,2016,도곡로 320,, ,-,-
서울특별시 강남구 도곡동,161,161,0,삼성,54.81,201901,14,"108,000",10,1994,남부순환로379길 14,, ,-,-
서울특별시 강남구 도곡동,467,467,0,타워팰리스1,164.95,201901,11,"265,000",18,2002,언주로30길 56,, ,-,-
서울특별시 강남구 도곡동,467,467,0,타워팰리스1,164.97,201901,28,"230,000",50,2002,언주로30길 56,, ,-,-
서울특별시 강남구 도곡동,467-29,467,29,타워팰리스3,185.622,201901,11,"315,000",56,2004,언주로30길 26,, ,-,-
서울특별시 강남구 삼성동,17,17,0,삼성동롯데아파트,91.77,201901,11,"165,500",11,2000,학동로 432,, ,-,-
