서울특별시 강남구 삼성동,08-02,8,2,삼성동브라운스톤레전드,219.48,201901,20,"299,000",15,2009,선릉로 660,, ,-,-
서울특별시 강남구 삼성동,14-1,14,1,삼성동중앙하이츠빌리지,59.98,201901,5,"147,000",8,2004,학동로68길 30,, ,-,-
서울특별시 강남구 삼성동,14-1,14,1,삼성동중앙하이츠빌리지,152.98,201901,24,"227,000",1,2004,학동로68길 30,, ,-,-
서울특별시 강남구 삼성동,Jan-82,82,1,삼성동헤렌하우스2(82-1),169.28,201901,29,"210,000",2,2010,영동대로128길 45,, ,-,-
서울특별시 강남구 삼성동,144-14,144,14,채널리저브,84.97,201901,26,"121,000",11,2007,삼성로 517,, ,-,-
서울특별시 강남구 삼성동,50,50,0,현대힐스테이트2단지,84.349,201901,31,"200,000",5,2008,삼성로111길 8,, ,-,-
서울특별시 강남구 삼성동,79,79,0,홍실아파트,162.47,201901,4,"260,000",3,1981,영동대로128길 15,, ,-,-
서울특별시 강남구 수서동,799,799,0,강남 더샵 포레스트,114.4856,201901,15,"190,000",5,2016,광평로34길 35,, ,-,-
서울특별시 강남구 수서동,708,708,0,삼익,49.2,201901,10,"79,000",3,1992,광평로51길 27,, ,-,-
서울특별시 강남구 신사동,606-2,606,2,신사아크존2,135.72,201901,30,"80,000",4,2005,압구정로34길 49,, ,-,-
서울특별시 강남구 신사동,622,622,0,신성아파트101동,59.67,201901,12,"92,000",3,1996,언주로167길 15,, ,-,-
서울특별시 강남구 압구정동,433,433,0,신현대11차,183.41,201901,16,"230,000",6,1983,압구정로 151,, ,-,-
서울특별시 강남구 압구정동,510,510,0,한양8(81동한개동),210.1,201901,8,"390,000",13,1984,압구정로 403,, ,-,-
서울특별시 강남구 압구정동,448,448,0,현대13차(208~211동),108.47,201901,10,"228,500",3,1983,압구정로29길 23,, ,-,-
서울특별시 강남구 압구정동,456,456,0,"현대6차(78~81,83,84,86,87동)",196.7,201901,5,"415,000",7,1978,압구정로 201,, ,-,-
서울특별시 강남구 압구정동,456,456,0,"현대7차(73~77,82,85동)",196.7,201901,15,"395,000",5,1979,압구정로 201,, ,-,-
서울특별시 강남구 압구정동,456,456,0,"현대7차(73~77,82,85동)",144.2,201901,15,"302,000",6,1979,압구정로 201,, ,-,-
서울특별시 강남구 압구정동,481,481,0,현대8차(성수현대:91~95동),163.67,201901,19,"285,000",5,1980,압구정로 309,, ,-,-
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,59.606,201901,3,"132,000",14,2005,선릉로69길 20,, ,-,-
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,59.606,201901,11,"132,000",12,2005,선릉로69길 20,, ,-,-
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,84.991,201901,26,"172,500",7,2005,선릉로69길 20,, ,-,-
서울특별시 강남구 역삼동,826-29,826,29,역삼동우정에쉐르1,59.81,201901,5,"61,000",8,2004,테헤란로4길 32,, ,-,-
서울특별시 강남구 역삼동,735-15,735,15,이스턴오피스텔,15.25,201901,16,"19,500",14,2014,테헤란로14길 13,, ,-,-
서울특별시 강남구 역삼동,709-5,709,5,테헤란아이파크,84.641,201901,23,"130,000",8,2014,테헤란로52길 16,, ,-,-
서울특별시 강남구 역삼동,760-7,760,7,현대트라움,165.23,201901,31,"180,000",5,2002,언주로70길 18-8,, ,-,-
서울특별시 강남구 일원동,741,741,0,래미안 개포 루체하임,84.99,201901,7,"173,000",12,2018,개포로110길 50,, ,-,-
서울특별시 강남구 일원동,718,718,0,샘터마을,101.97,201901,22,"150,000",5,1994,일원로 120,, ,-,-
서울특별시 강남구 자곡동,611,611,0,래미안강남힐즈,91.96,201901,10,"127,000",3,2014,자곡로 101,, ,-,-
서울특별시 강남구 자곡동,611,611,0,래미안강남힐즈,91.95,201901,23,"120,000",7,2014,자곡로 101,, ,-,-
서울특별시 강남구 청담동,42,42,0,삼성청담아파트,114.83,201901,17,"162,000",11,1999,학동로 405,, ,-,-
서울특별시 강남구 청담동,113-16,113,16,삼호빌라A동,197.8,201901,24,"195,000",2,1997,도산대로83길 43,, ,-,-
서울특별시 강남구 청담동,30-33,30,33,청담대림이-편한세상,81.84,201901,19,"145,000",4,2002,학동로77길 27,, ,-,-
서울특별시 강남구 청담동,110-13,110,13,청담대우멤버스카운티10차,147.91,201901,21,"170,000",2,2004,도산대로87길 34,, ,-,-
서울특별시 강남구 청담동,110-4,110,4,청담대우멤버스카운티6차,148.5,201901,11,"182,500",4,2004,도산대로87길 38,, ,-,-
서울특별시 강남구 청담동,117-3,117,3,청담로얄카운티,244.95,201901,23,"348,000",5,1999,도산대로83길 27,, ,-,-
서울특별시 강남구 청담동,134-38,134,38,청담자이,49.639,201901,31,"133,000",3,2011,영동대로138길 12,, ,-,-
서울특별시 강남구 청담동,102-1,102,1,청담파라곤Ⅱ1단지,217.2,201901,21,"285,000",1,2010,압구정로71길 32,, ,-,-
서울특별시 강동구 강일동,668,668,0,강일리버파크2단지,84.53,201901,9,"73,000",1,2009,아리수로97길 68,, ,-,-
서울특별시 강동구 고덕동,688,688,0,래미안힐스테이트고덕,84.9,201901,16,"98,000",15,2016,아리수로50길 50,, ,-,-
서울특별시 강동구 고덕동,688,688,0,래미안힐스테이트고덕,84.88,201901,21,"98,500",28,2016,아리수로50길 50,, ,-,-
서울특별시 강동구 길동,474,474,0,강동LG자이,147.17,201901,12,"103,500",10,2003,천호대로 1239,, ,-,-
서울특별시 강동구 길동,456-3,456,3,강동큐브,12.49,201901,2,"10,500",17,2013,천호대로175길 16,, ,-,-
서울특별시 강동구 길동,415-13,415,13,강동큐브(2차),15.12,201901,12,"11,100",6,2013,진황도로 85,, ,-,-
서울특별시 강동구 길동,415-13,415,13,강동큐브(2차),15.12,201901,12,"11,100",11,2013,진황도로 85,, ,-,-
서울특별시 강동구 길동,415-13,415,13,강동큐브(2차),15.12,201901,16,"11,000",9,2013,진황도로 85,, ,-,-
서울특별시 강동구 길동,415-13,415,13,강동큐브(2차),15.12,201901,29,"12,000",14,2013,진황도로 85,, ,-,-
서울특별시 강동구 길동,385-3,385,3,광남벨라스613V,84.13,201901,3,"48,000",7,2004,천중로38가길 53,, ,-,-
서울특별시 강동구 길동,400,400,0,길동우성,84.75,201901,2,"72,500",14,1994,천호대로193길 37,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,22.96,201901,12,"29,000",16,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,22.82,201901,14,"31,600",20,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,15.96,201901,15,"17,000",8,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,15.96,201901,15,"17,100",13,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,15.96,201901,15,"17,200",14,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,15.96,201901,15,"17,000",7,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,15.96,201901,15,"17,100",12,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,15.96,201901,15,"17,000",10,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,15.96,201901,15,"16,900",6,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,20.85,201901,15,"24,500",13,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,20.85,201901,15,"24,400",7,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,15.96,201901,15,"17,100",11,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,17.38,201901,16,"18,800",10,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,15.96,201901,17,"17,000",9,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,15.96,201901,17,"17,500",19,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,23.39,201901,17,"29,600",17,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,23.39,201901,17,"29,300",12,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,15.96,201901,17,"17,600",20,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,15.96,201901,18,"17,300",17,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,15.96,201901,18,"17,200",16,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,20.85,201901,18,"24,700",17,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,20.85,201901,19,"25,000",19,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,20.85,201901,20,"24,400",10,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,17.38,201901,20,"18,800",9,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,23.39,201901,21,"29,700",18,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,23.39,201901,24,"29,400",14,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,22.96,201901,25,"28,700",6,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,23.39,201901,29,"29,400",13,2018,천호대로175길 14,, ,-,-
서울특별시 강동구 길동,324-6,324,6,다성이즈빌(324-6),84.93,201901,2,"40,000",6,2005,양재대로126길 49,, ,-,-
서울특별시 강동구 길동,383-7,383,7,다오아트빌,74.47,201901,15,"38,300",5,2001,성안로 184,, ,-,-
서울특별시 강동구 길동,344-5,344,5,대상,114.94,201901,25,"53,000",14,1999,천중로 221,, ,-,-
서울특별시 강동구 길동,339-1,339,1,동서울오네뜨,84.82,201901,11,"43,000",4,2009,양재대로124길 32,, ,-,-
서울특별시 강동구 길동,53,53,0,삼익파크맨션,72.89,201901,3,"60,000",7,1982,명일로 293,, ,-,-
서울특별시 강동구 길동,53,53,0,삼익파크맨션,62.91,201901,15,"40,000",5,1982,명일로 286,, ,-,-
서울특별시 강동구 길동,384-5,384,5,에이치비골드빌(103동),42.3,201901,5,"30,000",6,2004,성안로 170,, ,-,-
서울특별시 강동구 길동,382-6,382,6,우성,48.3,201901,19,"30,900",4,1996,양재대로113길 50,, ,-,-
서울특별시 강동구 길동,457,457,0,청광플러스원큐브2차,14.495,201901,25,"12,000",11,2013,천호대로175길 10,, ,-,-
서울특별시 강동구 길동,343-1,343,1,현대웰하임(101동),16.959,201901,3,"10,400",5,2012,천중로53길 6,, ,-,-
서울특별시 강동구 길동,343-2,343,2,현대웰하임(201동),13.109,201901,24,"9,200",5,2012,천중로49가길 56,, ,-,-
서울특별시 강동구 둔촌동,170-1,170,1,둔촌주공1단지,50.84,201901,23,"123,500",2,1980,양재대로 1340,, ,-,-
서울특별시 강동구 둔촌동,170-1,170,1,둔촌주공1단지,88.43,201901,30,"150,000",4,1980,양재대로 1340,, ,-,-
서울특별시 강동구 둔촌동,174-1,174,1,둔촌주공2단지,88.26,201901,5,"140,000",4,1980,양재대로 1340,, ,-,-
서울특별시 강동구 둔촌동,174-1,174,1,둔촌주공2단지,50.84,201901,10,"124,000",4,1980,양재대로 1340,, ,-,-
서울특별시 강동구 둔촌동,174-1,174,1,둔촌주공2단지,88.26,201901,11,"139,800",5,1980,양재대로 1340,, ,-,-
서울특별시 강동구 둔촌동,174-1,174,1,둔촌주공2단지,88.43,201901,22,"140,000",2,1980,양재대로 1340,, ,-,-
서울특별시 강동구 둔촌동,170-1,170,1,둔촌주공4단지,99.61,201901,5,"139,500",5,1980,양재대로 1340,, ,-,-
서울특별시 강동구 둔촌동,170-1,170,1,둔촌주공4단지,99.61,201901,9,"155,000",6,1980,양재대로 1340,, ,-,-
서울특별시 강동구 둔촌동,170-1,170,1,둔촌주공4단지,99.61,201901,15,"139,000",2,1980,양재대로 1340,, ,-,-
서울특별시 강동구 둔촌동,170-1,170,1,둔촌주공4단지,99.61,201901,15,"139,000",1,1980,양재대로 1340,, ,-,-
서울특별시 강동구 둔촌동,170-1,170,1,둔촌주공4단지,71.58,201901,19,"123,500",5,1980,양재대로 1340,, ,-,-
서울특별시 강동구 둔촌동,170-1,170,1,둔촌주공4단지,97.72,201901,31,"135,000",5,1980,양재대로 1340,, ,-,-
서울특별시 강동구 둔촌동,435-2,435,2,상상프리,59.79,201901,29,"41,500",6,2012,천호대로 1156-20,, ,-,-
서울특별시 강동구 둔촌동,64,64,0,청호뜨레피움퍼스트아파트,55.94,201901,7,"53,200",2,2016,천호대로 1176,, ,-,-
서울특별시 강동구 둔촌동,425-3,425,3,태천해오름,84.95,201901,18,"38,000",4,2003,천호대로182길 12-6,, ,-,-
서울특별시 강동구 둔촌동,30-4,30,4,현대1차아파트,84.36,201901,7,"76,000",3,1984,동남로49길 57,, ,-,-
서울특별시 강동구 명일동,257,257,0,고덕주공9,83.34,201901,25,"76,000",15,1985,상암로 251,, ,-,-
서울특별시 강동구 명일동,352-5,352,5,다성씨티(2),84.82,201901,11,"46,000",1,2002,양재대로130길 26,, ,-,-
서울특별시 강동구 명일동,359,359,0,래미안솔베뉴,59.11,201901,24,"83,700",16,2019,양재대로 1650,, ,-,-
서울특별시 강동구 명일동,270,270,0,삼익가든,66.87,201901,16,"87,000",3,1984,상암로 225,, ,-,-
서울특별시 강동구 명일동,15,15,0,삼익그린2차,84.755,201901,14,"80,000",5,1983,고덕로 210,, ,-,-
서울특별시 강동구 명일동,15,15,0,삼익그린2차,66.87,201901,23,"76,000",6,1983,고덕로 210,, ,-,-
서울특별시 강동구 명일동,44,44,0,신동아,112.93,201901,9,"114,000",3,1986,고덕로 240,, ,-,-
서울특별시 강동구 명일동,44,44,0,신동아,81.07,201901,28,"86,000",13,1986,고덕로 240,, ,-,-
서울특별시 강동구 성내동,13-15,13,15,동남드림빌,83.5,201901,9,"58,500",9,2006,천호대로 1044-12,, ,-,-
서울특별시 강동구 성내동,13-15,13,15,동남드림빌,83.5,201901,19,"58,500",9,2006,천호대로 1044-12,, ,-,-
서울특별시 강동구 성내동,549-5,549,5,성내스테이,52.57,201901,16,"56,000",6,2018,성내로 54,, ,-,-
서울특별시 강동구 성내동,203-5,203,5,성주아트빌,69.72,201901,12,"32,000",3,2010,천호대로168길 41-12,, ,-,-
서울특별시 강동구 성내동,438-2,438,2,센츄럴(438-2),78.54,201901,3,"39,200",4,2000,강동대로53길 58,, ,-,-
서울특별시 강동구 성내동,413-6,413,6,신이모닝빌,84.91,201901,18,"52,600",7,2004,풍성로55길 6,, ,-,-
서울특별시 강동구 성내동,320-1,320,1,신주,127.73,201901,24,"60,000",6,2003,올림픽로 568-12,, ,-,-
서울특별시 강동구 성내동,194,194,0,에스케이허브진,33.71,201901,7,"28,400",9,2004,천호대로 1092,, ,-,-
서울특별시 강동구 성내동,606,606,0,올림픽파크한양수자인,84.88,201901,14,"89,700",11,2016,성내로 80,, ,-,-
서울특별시 강동구 성내동,595,595,0,코오롱2,107.23,201901,14,"71,500",4,2002,올림픽로 572,, ,-,-
서울특별시 강동구 성내동,420-9,420,9,태천,67.32,201901,31,"39,800",9,2001,풍성로52길 14,, ,-,-
서울특별시 강동구 성내동,Feb-30,30,2,현대,84.56,201901,16,"68,900",8,1987,천호옛12길 27,, ,-,-
서울특별시 강동구 암사동,414-2,414,2,롯데캐슬퍼스트,84.98,201901,5,"91,000",9,2008,고덕로 131,, ,-,-
서울특별시 강동구 암사동,414-2,414,2,롯데캐슬퍼스트,133.97,201901,9,"120,000",5,2008,고덕로 131,, ,-,-
서울특별시 강동구 암사동,442-1,442,1,한강현대,84.93,201901,5,"70,500",20,1999,올림픽로104길 42,, ,-,-
서울특별시 강동구 암사동,442-1,442,1,한강현대,71.91,201901,24,"63,000",6,1999,올림픽로104길 41,, ,-,-
서울특별시 강동구 천호동,155-5,155,5,강동역두산위브센티움,59.96,201901,30,"51,000",11,2004,성안로 155,, ,-,-
서울특별시 강동구 천호동,121-32,121,32,다성이즈빌(121-32),39.01,201901,3,"28,250",2,2017,성안로 195,, ,-,-
서울특별시 강동구 천호동,Apr-54,54,4,대명에버빌아파트,84.95,201901,14,"40,000",5,2004,천중로39길 19-17,, ,-,-
서울특별시 강동구 천호동,19-1,19,1,우성,51.44,201901,16,"49,500",3,1985,구천면로 366,, ,-,-
서울특별시 강동구 천호동,287-9,287,9,유원아파트,84.78,201901,10,"60,000",7,1997,상암로12길 24,, ,-,-
서울특별시 강동구 천호동,287-9,287,9,유원아파트,55.98,201901,28,"44,000",18,1997,상암로12길 24,, ,-,-
서울특별시 강동구 천호동,305,305,0,중앙하이츠,59.85,201901,29,"46,000",4,1998,구천면로41길 79,, ,-,-
서울특별시 강동구 천호동,528,528,0,천호동삼성아파트,114.65,201901,16,"71,000",14,1997,성안로25길 6,, ,-,-
서울특별시 강동구 천호동,410-100,410,100,코오롱상가아파트,82.5,201901,28,"45,000",3,1988,진황도로 12,, ,-,-
서울특별시 강동구 천호동,237,237,0,한신아파트,82.08,201901,20,"45,000",7,1991,구천면로42길 16,, ,-,-
서울특별시 강동구 천호동,168-6,168,6,현대아파트,44.1,201901,12,"37,000",8,1990,진황도로 47-2,, ,-,-
서울특별시 강동구 천호동,410-105,410,105,현대프라자아파트,45.11,201901,8,"30,000",10,1990,진황도로 18,, ,-,-
서울특별시 강북구 미아동,796,796,0,경남아너스빌,84.9898,201901,18,"51,000",12,2008,삼양로74길 8,, ,-,-
서울특별시 강북구 미아동,1356,1356,0,경남아너스빌(1356-0),84.873,201901,23,"59,000",18,2003,오패산로30길 30,, ,-,-
서울특별시 강북구 미아동,4,4,0,꿈의숲롯데캐슬,59.98,201901,14,"55,500",9,2017,오현로 56,, ,-,-
서울특별시 강북구 미아동,1351,1351,0,두원프라자,84.24,201901,5,"38,300",7,1996,도봉로 157,, ,-,-
서울특별시 강북구 미아동,474,474,0,미아동부센트레빌,84.89,201901,5,"76,000",9,2006,숭인로7가길 37,, ,-,-
서울특별시 강북구 미아동,474,474,0,미아동부센트레빌,59.96,201901,25,"63,000",13,2006,숭인로7가길 37,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,114.68,201901,3,"49,500",2,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1357,1357,0,삼각산아이원,84.705,201901,12,"55,800",20,2003,삼양로19길 113,, ,-,-
서울특별시 강북구 미아동,1357,1357,0,삼각산아이원,114.88,201901,14,"59,000",9,2003,삼양로19길 113,, ,-,-
서울특별시 강북구 미아동,1357,1357,0,삼각산아이원,114.88,201901,26,"56,500",8,2003,삼양로19길 113,, ,-,-
서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,84.29,201901,16,"68,000",15,2010,삼양로27길 19,, ,-,-
서울특별시 강북구 미아동,318-5,318,5,성북프라자,68.675,201901,16,"35,400",7,2009,도봉로33길 18,, ,-,-
서울특별시 강북구 미아동,318-5,318,5,성북프라자,68.675,201901,23,"36,000",4,2009,도봉로33길 18,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,114.85,201901,2,"57,800",16,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,201901,7,"42,400",11,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,201901,22,"40,500",8,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,201901,31,"42,500",7,2004,솔샘로 174,, ,-,-
서울특별시 강북구 번동,191,191,0,기산그린,59.94,201901,9,"27,500",7,2000,월계로37길 137,, ,-,-
서울특별시 강북구 번동,133-1,133,1,번동한양아파트,84.67,201901,8,"38,000",9,1992,한천로109길 69,, ,-,-
서울특별시 강북구 번동,204,204,0,신원,84.6,201901,25,"39,000",8,2000,월계로37길 87-9,, ,-,-
서울특별시 강북구 번동,139,139,0,해모로아파트,84.93,201901,24,"45,500",14,2003,오현로 156,, ,-,-
서울특별시 강북구 번동,148-490,148,490,훼밀리힐,126.67,201901,28,"39,000",13,1996,오현로 141,, ,-,-
서울특별시 강북구 수유동,553-61,553,61,극동,84.99,201901,5,"38,000",5,1992,인수봉로72길 4,, ,-,-
서울특별시 강북구 수유동,710-15,710,15,백두골드,73.23,201901,15,"25,500",5,2003,노해로35길 67,, ,-,-
서울특별시 강북구 수유동,205,205,0,수유벽산1차,122.58,201901,11,"53,000",9,1993,삼각산로 143-1,, ,-,-
서울특별시 강북구 수유동,Aug-48,48,8,수유프리미어엠,23.4,201901,10,"16,300",12,2016,덕릉로 76,, ,-,-
서울특별시 강북구 수유동,729,729,0,수유현대,84.51,201901,25,"38,000",8,2000,한천로 1131,, ,-,-
서울특별시 강북구 수유동,562-4,562,4,진안골드밸리,136.75,201901,30,"45,500",5,2001,4.19로11길 16,, ,-,-
서울특별시 강북구 수유동,461-13,461,13,화계맨숀,58.51,201901,11,"12,400",3,1975,덕릉로 12,, ,-,-
서울특별시 강서구 가양동,1461,1461,0,가양2단지(성지),39.6,201901,12,"43,500",14,1992,허준로 47,, ,-,-
