구,2016,2022
종로구,44030,41571
중구,37688,37528
용산구,68639,35935
성동구,94446,88575
광진구,120791,115111
동대문구,109656,104500
중랑구,123205,110084
성북구,132761,122949
강북구,91039,76500
도봉구,96457,78813
노원구,157363,130859
은평구,141924,129973
서대문구,94116,92552
마포구,128246,123201
양천구,132010,110454
강서구,190572,181138
구로구,130002,114151
금천구,71134,73494
영등포구,120457,127097
동작구,133054,124373
관악구,191035,194534
서초구,133666,108205
강남구 ,178179,144297
송파구,205187,193900
강동구,134927,128816
